Hotel_Name,Property Description,Hotel Website,Country,Address,Hotel star rating,Ocean View,City View,Family Rooms,Smoking Rooms Available,Non-Smoking Rooms Available,Suites,Free Parking,Free Internet,Pool,Fitness Centre/Gym,Bar/Lounge,Play Area,Pets Allowed,Cab Services
Hotel Trianon Rive Gauche,Hotel Trianon Rive Gauche is a charming hotel located in the Latin Quarter of Paris. It offers comfortable rooms with a classic decor and a cozy lounge area. The hotel's central location provides easy access to famous landmarks such as Notre-Dame Cathedral and the Louvre Museum. Guests can enjoy a relaxing stay in a historic setting at Hotel Trianon Rive Gauche.,https://www.trianonrivegauche.com/,France,"1 Bis Rue de Vaugirard, 75006 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
InterContinental London Park Lane,"InterContinental London Park Lane is a luxurious hotel situated in the prestigious Mayfair neighborhood. It features elegant rooms, a Michelin-starred restaurant, and a rooftop health club with panoramic views of the city. The hotel's prime location offers proximity to Hyde Park and high-end shopping on Bond Street. With its impeccable service and refined ambiance, InterContinental London Park Lane provides a truly indulgent stay.",https://www.ihg.com/intercontinental/hotels/gb/en/london/lonhb/hoteldetail,United Kingdom,"1 Hamilton Place, Park Lane, London W1J 7QY",5,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Novotel Suites Paris Nord 18 me,"Novotel Suites Paris Nord 18ème is a contemporary hotel located in the 18th arrondissement of Paris. It offers spacious suites with modern amenities and a fitness center. The hotel's convenient location provides easy access to the Stade de France and Montmartre. Whether you're traveling for business or leisure, Novotel Suites Paris Nord 18ème offers comfort and convenience during your stay.",https://all.accor.com/hotel/1707/index.en.shtml,France,"1 Impasse Marteau, 93410 Vaujours",4,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Grand Royale London Hyde Park,"Grand Royale London Hyde Park is a Victorian-style hotel situated near Hyde Park. It features elegant rooms, a bar, and a restaurant serving international cuisine. The hotel's location offers easy access to popular attractions such as Buckingham Palace and the West End. With its classic charm and modern amenities, Grand Royale London Hyde Park provides a memorable stay in the heart of London.",https://www.grandroyalelondon.co.uk/,United Kingdom,"1 Inverness Terrace, Westminster Borough, London W2 3JP",4,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Milestone Hotel Kensington,"Milestone Hotel Kensington is a luxury boutique hotel located in the prestigious Kensington neighborhood. It offers opulent rooms, a fitness center, and a gourmet restaurant. The hotel showcases a blend of classic British elegance and contemporary amenities. Guests can enjoy personalized service and a memorable stay in the refined atmosphere of Milestone Hotel Kensington.",https://www.milestonehotel.com/,United Kingdom,"1 Kensington Court, Kensington, London W8 5DL",5,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
Crowne Plaza London Kings Cross,"Crowne Plaza London Kings Cross is a modern hotel located near the vibrant King's Cross neighborhood. It offers comfortable rooms, a fitness center, and a stylish restaurant. The hotel's convenient location provides easy access to transportation links and popular attractions. Whether you're traveling for business or leisure, Crowne Plaza London Kings Cross offers a convenient and enjoyable stay.",https://www.ihg.com/crowneplaza/hotels/gb/en/london/lonkg/hoteldetail,United Kingdom,"1 Kings Cross Rd, London WC1X 9HX",4,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Select Hotel,"Select Hotel is a boutique hotel located in a trendy neighborhood. It features stylish and comfortable rooms, a cozy lounge, and a breakfast area. The hotel's central location offers easy access to shops, restaurants, and attractions. With its intimate atmosphere and personalized service, Select Hotel provides a memorable stay for discerning travelers.",Not available,France,"1 Pl. de la Sorbonne, 75005 Paris",3,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel De Vend me,"Hotel De Vendôme is a luxury hotel located in the heart of Paris. It offers elegant rooms, a gourmet restaurant, and a spa. The hotel showcases classic French elegance and provides a tranquil oasis in the bustling city. Guests can enjoy personalized service and a sophisticated stay at Hotel De Vendôme.",https://www.astotel.com/en/hotel-de-vendome,France,"1 Pl. Vendôme, 75001 Paris",5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
Pullman Paris Centre Bercy,"Pullman Paris Centre Bercy is a contemporary hotel located near the Bercy Village. It features modern rooms, a fitness center, and multiple dining options. The hotel's convenient location offers easy access to entertainment venues and public transportation. Whether you're visiting for business or leisure, Pullman Paris Centre Bercy provides a comfortable and convenient stay.",https://all.accor.com/hotel/3013/index.en.shtml,France,"1 Rue de Libourne, 75012 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Gardette Park Hotel,"Gardette Park Hotel is a charming boutique hotel situated near the historic Marais district in Paris. It offers cozy and well-appointed rooms, a breakfast room, and a garden. The hotel's location provides easy access to cultural attractions, shops, and restaurants. With its intimate ambiance and friendly service, Gardette Park Hotel offers a delightful stay in Paris.",https://www.gardettepark.com/,France,"1 Rue du Général Blaise, 75011 Paris",4,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Hotel Panache,"Hotel Panache is a stylish boutique hotel located in the vibrant 9th arrondissement of Paris. It features uniquely designed rooms, a chic restaurant, and a lively bar. The hotel's artistic decor and lively atmosphere create a vibrant and memorable stay. Guests can experience the vibrant spirit of Paris at Hotel Panache.",https://www.hotelpanache.com/,France,"1 Rue Geoffroy-Marie, 75009 Paris",4,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel des Ducs D Anjou,"Hotel des Ducs D'Anjou is a charming hotel located in the heart of Paris. It offers comfortable rooms with a classic decor, a breakfast room, and a bar. The hotel's central location provides easy access to popular attractions and shopping districts. Guests can enjoy a pleasant stay in a historic setting at Hotel des Ducs D'Anjou.",https://www.ducs-anjou-hotel-paris.com/,France,"1 Rue Sainte Opportune, 75001 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Hotel Scribe Paris Opera by Sofitel,"Hotel Scribe Paris Opera by Sofitel is a luxury hotel situated near the Opéra Garnier. It features elegant rooms, a gourmet restaurant, and a spa. The hotel's central location offers easy access to theaters, shopping, and cultural attractions. With its refined ambiance and attentive service, Hotel Scribe Paris Opera by Sofitel provides a luxurious stay in the heart of Paris.",https://www.sofitel.accor.com/gb/hotel-0663-hotel-scribe-paris-opera/index.shtml,France,"1 Rue Scribe, 75009 Paris",5,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Novotel London West,"Novotel London West is a contemporary hotel located in West London. It offers modern rooms, a fitness center, and multiple dining options. The hotel's convenient location provides easy access to transportation links and popular attractions. Whether you're visiting for business or leisure, Novotel London West offers a comfortable and enjoyable stay.",https://all.accor.com/hotel/0737/index.en.shtml,United Kingdom,"1 Shortlands, Hammersmith, London W6 8DR",4,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Haymarket Hotel,"Haymarket Hotel is a luxury boutique hotel located in the vibrant neighborhood of Haymarket. It features stylish rooms, a spa, and a trendy restaurant and bar. The hotel's central location offers easy access to theaters,",https://www.firmdalehotels.com/hotels/london/haymarket-hotel,United Kingdom,"1 Suffolk Pl, St. James's, London SW1Y 4HX",5,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Intercontinental London The O2,"Intercontinental London The O2 is a luxury hotel located on the Greenwich Peninsula. It offers spacious and modern rooms with stunning views of the River Thames and Canary Wharf. The hotel features multiple dining options, a spa, and a rooftop sky bar. With its prime location and world-class facilities, Intercontinental London The O2 provides a memorable stay for both business and leisure travelers.",https://www.ihg.com/intercontinental/hotels/gb/en/london/loncy/hoteldetail,United Kingdom,"1 Waterview Dr, Greenwich Peninsula, London SE10 0TW",5,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Hotel Juliana Paris,"Hotel Juliana Paris is a boutique hotel situated in the prestigious 7th arrondissement of Paris. It offers elegantly designed rooms, a stylish lounge bar, and a fitness center. The hotel's prime location provides easy access to iconic landmarks such as the Eiffel Tower and the Champs-Elysées. With its refined ambiance and personalized service, Hotel Juliana Paris offers a luxurious and intimate retreat in the heart of the city.",https://www.hoteljulianaparis.com/,France,"10-12 Rue Cognacq-Jay, 75007 Paris",5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Hotel L Antoine,"Hotel L Antoine is a charming boutique hotel located in the vibrant Le Marais district of Paris. It features individually designed rooms with a modern and artistic decor, a cozy lounge, and a breakfast area. The hotel's central location offers easy access to cultural attractions, shops, and restaurants. With its unique style and warm hospitality, Hotel L Antoine provides a memorable and authentic Parisian experience.",https://www.hotel-antoine.com/,France,"10 Rue de Charonne, 75011 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Belfast,"Belfast is a vibrant and modern city in Northern Ireland known for its rich history and lively culture. It offers a range of accommodations, from luxury hotels to boutique guesthouses. Visitors can explore iconic attractions like the Titanic Belfast museum, St. George's Market, and the historic Cathedral Quarter. With its friendly atmosphere and diverse offerings, Belfast is a captivating destination for travelers seeking a blend of history, culture, and natural beauty.",Not available,United Kingdom,"10 Victoria Street, Belfast BT1 3GN",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Shangri La Hotel Paris,"Shangri La Hotel Paris is a luxurious palace hotel located in the prestigious 16th arrondissement of Paris. It offers lavish rooms, Michelin-starred dining, and a spa with panoramic views of the city. The hotel's prime location near the Trocadéro and Eiffel Tower provides a truly enchanting experience. With its opulent interiors and impeccable service, Shangri La Hotel Paris offers an unforgettable stay in the City of Lights.",https://www.shangri-la.com/paris/shangrila/,France,"10 Avenue d'Iéna, 75116 Paris",5,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Mercure Paris Tour Eiffel Pont Mirabeau,"Mercure Paris Tour Eiffel Pont Mirabeau is a modern hotel located near the Eiffel Tower and the Mirabeau Bridge. It offers comfortable rooms, a fitness center, and a stylish bar. The hotel's central location provides easy access to popular attractions and transportation links. Whether you're visiting for business or leisure, Mercure Paris Tour Eiffel Pont Mirabeau offers a convenient and enjoyable stay in the heart of Paris.",https://all.accor.com/hotel/0379/index.en.shtml,France,"10 Avenue de Versailles, 75016 Paris",4,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Knightsbridge Hotel,"Knightsbridge Hotel is a boutique hotel situated in the upscale Knightsbridge neighborhood of London. It offers elegant and individually designed rooms, a cozy drawing room, and a stylish bar. The hotel's prime location provides easy access to luxury shopping destinations like Harrods and Sloane Street. With its intimate atmosphere and personalized service, Knightsbridge Hotel offers a refined and relaxing retreat in the heart of the city.",https://www.knightsbridgehotel.co.uk/,United Kingdom,"10 Beaufort Gardens, Knightsbridge, London SW3 1PT",4,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
The London EDITION,"The London EDITION is a luxury hotel located in the vibrant Fitzrovia neighborhood of London. It offers stylish rooms, a lively restaurant and bar, and a modern fitness center. ",https://www.editionhotels.com/london/,United Kingdom,"10 Berners Street, Fitzrovia, London W1T 3NP",5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
The Cranley Hotel,"The Cranley Hotel is a charming boutique hotel located in the upscale Kensington neighborhood of London. It offers elegantly decorated rooms, a cozy lounge, and a beautiful garden terrace. The hotel's central location provides easy access to attractions like the Natural History Museum and Hyde Park. With its intimate atmosphere and attentive service, The Cranley Hotel offers a tranquil retreat in the heart of the city.",https://www.cranleyhotel.com/,United Kingdom,"10 Bina Gardens, South Kensington, London SW5 0LA",4,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Hotel Le 10 BIS,"Hotel Le 10 BIS is a boutique hotel situated in the vibrant 10th arrondissement of Paris. It offers stylish rooms with modern amenities, a cozy breakfast room, and a welcoming lounge. The hotel's location provides easy access to popular attractions, shops, and restaurants. With its contemporary design and personalized service, Hotel Le 10 BIS offers a comfortable and enjoyable stay for guests exploring the lively atmosphere of Paris.",https://www.hotel10bis.com/,France,"10 Bis Rue du Dôme, 75116 Paris",4,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
The Nadler Soho,"The Nadler Soho is a boutique hotel located in the vibrant Soho neighborhood of London. It offers well-designed rooms with modern amenities, a 24-hour front desk, and a communal workspace. The hotel's central location provides easy access to theaters, restaurants, and shopping districts. With its focus on affordable luxury and thoughtful amenities, The Nadler Soho offers a convenient and stylish base for guests exploring the lively streets of Soho.",https://www.nadlerhotels.com/soho,United Kingdom,"10 Carlisle Street, Soho, London W1D 3BR",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Grange St Paul s Hotel,"Grange St Paul's Hotel is a modern hotel situated near St Paul's Cathedral in London. It offers spacious rooms, a fitness center, and multiple dining options. The hotel's central location provides easy access to attractions like the Tate Modern and Millennium Bridge. With its contemporary design and excellent facilities, Grange St Paul's Hotel offers a comfortable and convenient stay for both business and leisure travelers in the heart of the city.",https://www.grangehotels.com/hotels-london/grange-st-pauls,United Kingdom,"10 Godliman Street, London EC4V 5AJ",5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
The Ampersand Hotel,"The Ampersand Hotel is a luxury boutique hotel located in the South Kensington neighborhood of London. It offers elegantly designed rooms, a gourmet restaurant, and a stylish bar. The hotel's proximity to museums, shopping, and dining options makes it an ideal choice for travelers seeking a sophisticated and cultural experience. With its attention to detail and personalized service, The Ampersand Hotel provides a refined and memorable stay in one of London's most desirable neighborhoods.",https://www.ampersandhotel.com/,United Kingdom,"10 Harrington Road, South Kensington, London SW7 3ER",5,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Covent Garden Hotel,"Covent Garden Hotel is a stylish boutique hotel located in the heart of London's Covent Garden district. It offers individually designed rooms, a cozy drawing room, and a private screening room. The hotel's central location provides easy access to theaters, shops, and dining options. With its unique charm and warm hospitality, Covent Garden Hotel offers a delightful and memorable stay for guests exploring the vibrant atmosphere of Covent Garden.",https://www.firmdalehotels.com/hotels/london/covent-garden-hotel,United Kingdom,"10 Monmouth Street, Covent Garden, London WC2H 9HB",5,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
The Nadler Victoria,"The Nadler Victoria is a boutique hotel situated in the upscale Victoria neighborhood of London. It offers modern and well-appointed rooms, a 24-hour front desk, and a communal workspace. The hotel's central location provides easy access to transportation links and popular attractions like Buckingham Palace. With its focus on affordability and smart design, The Nadler Victoria offers a convenient and comfortable stay for guests exploring the iconic landmarks of London.",https://www.nadlerhotels.com/victoria,United Kingdom,"10 Palace Place, Westminster Borough, London SW1E 5BW",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Novotel London Tower Bridge,"Novotel London Tower Bridge is a modern hotel located near the iconic Tower Bridge in London. It offers contemporary rooms, a fitness center, and an on-site restaurant. The hotel's central location provides easy access to popular",https://all.accor.com/hotel/3260/index.en.shtml,United Kingdom,"10 Pepys Street, City of London, London EC3N 2NR",4,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Crowne Plaza Paris R publique,"Crowne Plaza Paris République is a modern and elegant hotel located in the heart of Paris, France. Situated in the vibrant République neighborhood, the hotel offers a convenient location for both business and leisure travelers",https://www.ihg.com/crowneplaza/hotels/gb/en/paris/parfr/hoteldetail,France,"10 Place de la République, 75011 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Le Metropolitan a Tribute Portfolio Hotel,"Le Metropolitan is a luxury hotel located near the Champs-Elysées in Paris. It offers elegant rooms, a gourmet restaurant, and a spa with a pool. The hotel's contemporary design and personalized service create a sophisticated atmosphere for guests. With its convenient location and luxurious amenities, Le Metropolitan provides a memorable stay for discerning travelers in the heart of Paris.",https://www.marriott.com/hotels/travel/parmd-le-metropolitan-a-tribute-portfolio-hotel/,France,"10 Place de Mexico, 75016 Paris",5,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Atala Champs Elys es,"Atala Champs Elysées is a boutique hotel situated near the iconic Champs-Elysées avenue in Paris. It offers stylish rooms, a cozy lounge, and a rooftop terrace with panoramic views of the city. The hotel's central location provides easy access to luxury shopping, dining, and cultural attractions. With its chic design and warm hospitality, Atala Champs Elysées offers a comfortable and memorable stay for guests exploring the vibrant atmosphere of Paris.",https://www.hotelatala.com/,France,"10 Rue Chateaubriand, 75008 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel de Jos phine BONAPARTE,"Hotel de Joséphine BONAPARTE is a boutique hotel located in the historic Le Marais district of Paris. It offers individually designed rooms, a charming courtyard, and a breakfast room. The hotel's unique decor and romantic ambiance reflect the artistic heritage of the neighborhood. With its intimate setting and personalized service, Hotel de Joséphine BONAPARTE offers a delightful stay for guests seeking a blend of history and contemporary style in the heart of Paris.",https://www.hotel-josephine.com/,France,"10 Rue d'Ormesson, 75004 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
Maison Souquet,"Maison Souquet is a luxurious and intimate hotel situated in the Montmartre neighborhood of Paris. It offers exquisitely designed rooms, a cozy bar, and a private garden. The hotel's Belle Époque decor and discreet atmosphere create a unique and romantic setting. With its impeccable service and attention to detail, Maison Souquet provides an indulgent and unforgettable experience for guests seeking a luxurious retreat in the heart of the city.",https://www.maisonsouquet.com/,France,"10 Rue de Bruxelles, 75009 Paris",5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel Tour d Auvergne Opera,"Hotel Tour d'Auvergne Opera is a charming hotel located near the Opéra Garnier in Paris. It offers comfortable rooms, a cozy lounge, and a breakfast room. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its warm hospitality and convenient amenities, Hotel Tour d'Auvergne Opera offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.tourdauvergne-opera.com/,France,"10 Rue de la Tour d'Auvergne, 75009 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Le Senat,"Le Senat is a boutique hotel situated in the lively Saint-Germain-des-Prés neighborhood of Paris. It offers elegant rooms, a cozy lounge, and a breakfast room with a view of the Luxembourg Gardens. The hotel's central location provides easy access to cultural attractions, boutiques, and restaurants. With its classic Parisian charm and attentive service, Le Senat offers a refined and comfortable stay for guests seeking an authentic experience in the heart of the city.",https://www.hotel-le-senat.com/,France,"10 Rue de Tournon, 75006 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Windsor Opera,"Windsor Opera is a charming hotel located near the Opéra Garnier in Paris. It offers comfortable rooms, a cozy lounge, and a breakfast room. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its warm hospitality and convenient amenities, Windsor Opera offers a pleasant and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.hotelwindsoropera.com/,France,"10 Rue Gabriel Laumain, 75010 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Holiday Inn Paris Montparnasse Pasteur,Holiday Inn Paris Montparnasse Pasteur is a modern hotel located in the Montparnasse district of Paris.,https://www.ihg.com/holidayinn/hotels/gb/en/paris/parmp/hoteldetail,France,"10 Rue Gager Gabillot, 75015 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Hotel Keppler,"Hotel Keppler is a luxury boutique hotel located in the prestigious 16th arrondissement of Paris. It offers stylish and elegant rooms, a cozy lounge, and a garden terrace. The hotel's central location provides easy access to attractions like the Champs-Elysées and the Eiffel Tower. With its personalized service and refined ambiance, Hotel Keppler offers a sophisticated and comfortable stay for guests seeking a memorable experience in the heart of Paris.",https://www.keppler.fr/,France,"10 Rue Kepler, 75016 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Les Plumes Hotel,"Les Plumes Hotel is a boutique hotel situated in the lively 9th arrondissement of Paris. It offers beautifully designed rooms inspired by famous French writers, a cozy lounge, and a breakfast room. The hotel's artistic decor and literary theme create a unique and charming atmosphere. With its central location and warm hospitality, Les Plumes Hotel offers a delightful and cultural stay for guests exploring the vibrant atmosphere of Paris.",https://www.lesplumeshotel.com/,France,"10 Rue Lamartine, 75009 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Hotel des Tuileries Relais du Silence,"Hotel des Tuileries Relais du Silence is a charming hotel located in the heart of Paris, near the Tuileries Garden. It offers comfortable rooms with a classic decor, a cozy lounge, and a breakfast room. The hotel's central location provides easy access to cultural attractions, shopping districts, and dining options. With its warm hospitality and tranquil ambiance, Hotel des Tuileries Relais du Silence offers a pleasant and convenient stay for guests seeking a relaxing retreat in the heart of the city.",https://www.relaisdutuileries.com/,France,"10 Rue Saint-Hyacinthe, 75001 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
Bradford Elys es Astotel,"Bradford Elysées Astotel is a boutique hotel located near the Champs-Elysées in Paris. It offers stylish and modern rooms, a cozy lounge, and a breakfast room. The hotel's central location provides easy access to luxury shopping, dining, and cultural attractions. With its contemporary design and personalized service, Bradford Elysées Astotel offers a comfortable and convenient stay for guests exploring the vibrant atmosphere of Paris.",https://www.astotel.com/en/our-hotels/bradford-elysees,France,"10 Rue Saint-Philippe du Roule, Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
W London Leicester Square,"W London Leicester Square is a luxury hotel situated in the heart of London's vibrant Leicester Square. It offers stylish and contemporary rooms, a rooftop bar, and a fitness center. The hotel's central location provides easy access to theaters, shopping, and dining options. With its modern design and lively ambiance, W London Leicester Square offers a dynamic and unforgettable stay for guests seeking a vibrant experience in the heart of London.",https://www.marriott.com/hotels/travel/lonhw-w-london-leicester-square/,UK,"10 Wardour St, London",5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
